componente,anoPlanilha,habilidade,descricao,ondas,agrupamento,moduloOndas,aulaOndas,paginaCaderno,aulaPF,sugestoes,complementar
Princípios para uma vida saudável,4º,EF01CI03,"Discutir as razões pelas quais os hábitos de higiene do corpo (tomar banho, lavar as mãos antes de comer ou após usar o banheiro, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) e a prática de atividades físicas são necessários para a manutenção da saúde individual e coletiva, reconhecendo e respeitando os hábitos culturais das comunidades e as condições sócias de cada indivíduo.",1.0,4º e 5º,Módulo 3,Aula 15,31 e 32,VID_Unidade_01: Hábitos e práticas saudáveis,"Solicitar que os alunos escrevam quais os principais hábitosde higiene que eles realizam durante o seu dia","História: Chelé, o jacaré de chulé
Autora: Gina Borges
Narradora: Patrícia Marisa"
Maneiras de pensar e agir,4º,EF15AR20,"Experimentar o trabalho colaborativo, coletivo e autoral em improvisações teatrais e processos narrativos criativos em teatro, explorando desde a teatralidade dos gestos e das ações do cotidiano até elementos de diferentes matrizes estéticas e culturais.",1.0,4º e 5º,Módulo 4,Aula 16,33 e 34,MP_Unidade_04: Trabalho Colaborativo,"Confeccionar junto com os alunos plaquinhas com imagensde boas ações de trabalho em equipe e colocá-las emespaços da escola.","História: D. Cotinha, Tom o gato Joca.
Autora: Cléo Busatto
Narradora: Maria da Conceição"
Língua Portuguesa,4º,EF04LP11,"Planejar e produzir, com autonomia, cartas pessoais de reclamação, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções do gênero carta e com a estrutura própria desses textos (problema, opinião, argumentos), considerando a situação comunicativa e o tema/assunto/finalidade do texto.",1.0,4º e 5º,Módulo 4,Aula 17,35 e 36,LP_Unidade_05: Sentimentos e Emoções,"Trazer para a sala de aula um parágrafo simples de umahistória (sem a pontuação) e pedir para que os alunos façama utilização dos sinais de pontuação necessários.","História: Família feita de amor
Autora: Carolina Rodrigues da Silva
Narradora: Profª Patrícia"
Língua Portuguesa,4º,EF05LP03,"Acentuar corretamente palavras oxítonas, paroxítonas e proparoxítonas.",1.0,4º e 5º,Módulo 4,Aula 17,35 e 36,LP_Unidade_05: Sentimentos e Emoções,"Trazer para a sala de aula um parágrafo simples de umahistória (sem a pontuação) e pedir para que os alunos façama utilização dos sinais de pontuação necessários.","História: Família feita de amor
Autora: Carolina Rodrigues da Silva
Narradora: Profª Patrícia"
Matemática,4º,EF04MA22,"Ler e registrar medidas e intervalos de tempo em horas, minutos e segundos em situações relacionadas ao seu cotidiano, como informar os horários de início e término de realização de uma tarefa e sua duração.",1.0,4º e 5º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_06: Calendário e cálculos,"Confeccionar com pratinhos de festa ou papelão umrelógio de ponteiro e indicar diferentes horários paraque os alunos identifiquem.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profª Valdira"
Matemática,4º,EF05MA01,"Ler, escrever e ordenar números naturais até a ordem das centenas de milhar com compreensão das principais características do sistema de numeração decimal",1.0,4º e 5º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_06: Calendário e cálculos,"Confeccionar com pratinhos de festa ou papelão umrelógio de ponteiro e indicar diferentes horários paraque os alunos identifiquem.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profª Valdira"
Matemática,4º,EF04MA22,"Ler e registrar medidas e intervalos de tempo em horas, minutos e segundos em situações relacionadas ao seu cotidiano, como informar os horários de início e término de realização de uma tarefa e sua duração.",1.0,4º e 5º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_13: Que horas são?,"Confeccionar com pratinhos de festa ou papelão umrelógio de ponteiro e indicar diferentes horários paraque os alunos identifiquem.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profª Valdira"
Matemática,4º,EF05MA01,"Ler, escrever e ordenar números naturais até a ordem das centenas de milhar com compreensão das principais características do sistema de numeração decimal",1.0,4º e 5º,Módulo 4,Aula 18,37 e 38,MAT_Unidade_13: Que horas são?,"Confeccionar com pratinhos de festa ou papelão umrelógio de ponteiro e indicar diferentes horários paraque os alunos identifiquem.","História: A Menina do Vestido Azul
Autores: Thayane Carboneri, Renato Martins Zacarias
Narradora: Profª Valdira"
Ciências,4º,EF04CI11,Associar os movimentos cíclicos da Lua e da Terra a períodos de tempo regulares e ao uso desse conhecimento para a construção de calendários em diferentes culturas.,1.0,4º e 5º,Módulo 4,Aula 19,39 e 40,CIE_Unidade_14: Dia e Noite,"Solicitar que os alunos tragam fotos representando o dia e anoite para que seja criado uma exposição dessas fotos.","História: Planeta Terra: nossa casa!
Autor: Leonardo Mendes Cardoso
Narradora: Prof Sonia Kerner"
Ciências,4º,EF05CI11,Associar o movimento diário do Sol e das demais estrelas no céu ao movimento de rotação da Terra.,1.0,4º e 5º,Módulo 4,Aula 19,39 e 40,CIE_Unidade_14: Dia e Noite,"Solicitar que os alunos tragam fotos representando o dia e anoite para que seja criado uma exposição dessas fotos.","História: Planeta Terra: nossa casa!
Autor: Leonardo Mendes Cardoso
Narradora: Prof Sonia Kerner"
Ciências,4º,EF04CI11,Associar os movimentos cíclicos da Lua e da Terra a períodos de tempo regulares e ao uso desse conhecimento para a construção de calendários em diferentes culturas.,1.0,4º e 5º,Módulo 4,Aula 19,39 e 40,CIE_Unidade_16: Localização Temporal e espacial,"Solicitar que os alunos tragam fotos representando o dia e anoite para que seja criado uma exposição dessas fotos.","História: Planeta Terra: nossa casa!
Autor: Leonardo Mendes Cardoso
Narradora: Prof Sonia Kerner"
Ciências,4º,EF05CI11,Associar o movimento diário do Sol e das demais estrelas no céu ao movimento de rotação da Terra.,1.0,4º e 5º,Módulo 4,Aula 19,39 e 40,CIE_Unidade_16: Localização Temporal e espacial,"Solicitar que os alunos tragam fotos representando o dia e anoite para que seja criado uma exposição dessas fotos.","História: Planeta Terra: nossa casa!
Autor: Leonardo Mendes Cardoso
Narradora: Prof Sonia Kerner"
Tecnologia,4º,EF15AR26,"Explorar diferentes tecnologias e recursos digitais (multimeios, animações, jogos eletrônicos, gravações em áudio e vídeo, fotografia, softwares etc.) nos processos de criação artística.",1.0,4º e 5º,Módulo 4,Aula 20,41 e 42,TEC_Unidade_04: O Computador e seus recursos,"Propor aos alunos que escrevam em um papel como seriaenviar um email para alguém e escrever as principaisestruturas, descrevendo o que é necessário paraessa atividade.","História: Um Amigo Fiel
Autor: Almeida Junior
Narradora: Profª Patrícia Marisa"
Maneiras de pensar e agir,4º,EF15AR06,"Dialogar sobre a sua criação e as dos colegas, para alcançar sentidos plurais, compartilhando com os demais, identificando e valorizando as diferenças.",1.0,4º e 5º,Módulo 5,Aula 21,43 e 44,"MP_Unidade_02: Reconhecimento das emoções, empatia e respeito","Criar cartazes com as principais ações para uma boaconvivência dentro e fora da escola.","História: O Urso e as Abelhas
Autor: Esopo
Narradora: Profª Patrícia Marisa"
Língua Portuguesa,4º,EF04LP09,"Ler e compreender, com autonomia, boletos, faturas e carnês, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções do gênero (campos, itens elencados, medidas de consumo, código de barras) e considerando a situação comunicativa e a finalidade do texto.",1.0,4º e 5º,Módulo 5,Aula 22,45 e 46,LP_Unidade_04: Onomatopeias e Poemas,"Selecionar uma quadrinha e pedir para a turma identificar:quantos versos possuem, quais as palavras que rimam edestas, escolher 05 e realizar a separação de sílabas.","História: Respeito
Autora: Maria do Rosário Moita Macedo
Narradora: Profª Patrícia Marisa"
Língua Portuguesa,4º,EF04LP02,"Ler e escrever, corretamente, palavras com sílabas VV e CVV em casos nos quais a combinação VV (ditongo) é reduzida na língua oral (ai, ei, ou).",1.0,4º e 5º,Módulo 5,Aula 23,47 e 48,LP_Unidade_02: Troca Letra e Fábulas,"Escrever no quadro várias sílabas e pedir aos alunos queconstruam novas palavras e a partir disso, que escolham02 delas e escrevam pequenas frases.","História: Felicidade
Autoras: Carla Conceição Selva A. Moreira Pinheiro e
Sandra da Silva Lima
Narradora: Profª Valdira"
Língua Portuguesa,4º,EF05LP04,"Diferenciar, na leitura de textos, vírgula, ponto e vírgula, dois-pontos e reconhecer, na leitura de textos, o efeito de sentido que decorre do uso de reticências, aspas, parênteses.",1.0,4º e 5º,Módulo 5,Aula 23,47 e 48,LP_Unidade_02: Troca Letra e Fábulas,"Escrever no quadro várias sílabas e pedir aos alunos queconstruam novas palavras e a partir disso, que escolham02 delas e escrevam pequenas frases.","História: Felicidade
Autoras: Carla Conceição Selva A. Moreira Pinheiro e
Sandra da Silva Lima
Narradora: Profª Valdira"
Matemática,4º,EF04MA04,"Utilizar as relações entre adição e subtração, bem como entre multiplicação e divisão, para ampliar as estratégias de cálculo.",1.0,4º e 5º,Módulo 5,Aula 24,49 e 50,MAT_Unidade_12: Figuras geométricas tridimensionais,"Trazer alguns objetos com formas geométricas e solicitarque os alunos realizem a contagem de lados dessesobjetos.","História: Meus Heróis
Autor: Almeida Junior
Narradora: Profª Sara dos Santos Rocha"
Matemática,4º,EF05MA16,"Associar figuras espaciais a suas planificações (prismas, pirâmides, cilindros e cones) e analisar, nomear e comparar seus atributos.",1.0,4º e 5º,Módulo 5,Aula 24,49 e 50,MAT_Unidade_12: Figuras geométricas tridimensionais,"Trazer alguns objetos com formas geométricas e solicitarque os alunos realizem a contagem de lados dessesobjetos.","História: Meus Heróis
Autor: Almeida Junior
Narradora: Profª Sara dos Santos Rocha"
Ciências,4º,EF04CI02,"Testar e relatar transformações nos materiais do dia a dia quando expostos a diferentes condições (aquecimento, resfriamento, luz e umidade).",1.0,4º e 5º,Módulo 5,Aula 25,51 e 52,CIE_Unidade_10: Os materiais,"Trazer alguns objetos com formas geométricas esolicitar que os alunos realizem a contagem de ladosdesses objetos.","História: Brinquedos Falantes
Autor: Almeida Junior
Narradora: Profª Sara dos Santos Rocha"
Ciências,4º,EF05CI01,"Explorar fenômenos da vida cotidiana que evidenciem propriedades físicas dos materiais – como densidade, condutibilidade térmica e elétrica, respostas a forças magnéticas, solubilidade, respostas a forças mecânicas (dureza, elasticidade etc.), entre outras.",1.0,4º e 5º,Módulo 5,Aula 25,51 e 52,CIE_Unidade_10: Os materiais,"Trazer alguns objetos com formas geométricas esolicitar que os alunos realizem a contagem de ladosdesses objetos.","História: Brinquedos Falantes
Autor: Almeida Junior
Narradora: Profª Sara dos Santos Rocha"
Cidadania e Convivência em Paz,4º,EF05HI04,"Compreender a noção de cidadania e associar aos princípios de respeito à diversidade, à pluralidade e aos direitos humanos.",1.0,4º e 5º,Módulo 6,Aula 26,53 e 54,CIC_Unidade_01: Cidadania e Convivência na escola,"Realizar uma peça teatral da história Pinóquio e ao final daapresentação, gerar uma reflexão sobre a mensagemda história.","História: O Chapéu de Palha Histórias de Minervina.
Autora: Isabel Melo
Narradora: Luciana Celi"
Língua Portuguesa,4º,EF04LP01,Grafar palavras utilizando regras de correspondência fonema- grafema regulares diretas e contextuais.,1.0,4º e 5º,Módulo 6,Aula 27,55 e 56,"LP_Unidade_10: Entre x, ch e bruxas","Propor um desafio em grupos e cada um desses terápalavras com X e CH. O grupo que conseguir escrever todasas palavras de forma correta, ganha.","História: Chico, o amigo dos animais
Autor: Almeida Junior
Narradora: Sara dos Santos Rocha"
Língua Portuguesa,4º,EF05LP01,"Grafar palavras utilizando regras de correspondência fonema-grafema regulares, contextuais e morfológicas e palavras de uso frequente com correspondências irregulares.",1.0,4º e 5º,Módulo 6,Aula 27,55 e 56,"LP_Unidade_10: Entre x, ch e bruxas","Propor um desafio em grupos e cada um desses terápalavras com X e CH. O grupo que conseguir escrever todasas palavras de forma correta, ganha.","História: Chico, o amigo dos animais
Autor: Almeida Junior
Narradora: Sara dos Santos Rocha"
Matemática,4º,EF04MA05,Utilizar as propriedades das operações para desenvolver estratégias de cálculo.,1.0,4º e 5º,Módulo 6,Aula 28,57 e 58,MAT_Unidade_01: O Mundo dos Números,"Distribuir alguns objetos e cédulas fictícias para osalunos e simular uma feira. Levando-os a refletirquanto gastou e quanto sobrará de troco.","História: Que cor é minha cor?
Autora: Martha Rodrigues
Narradora: Natiara Silva"
Matemática,4º,EF05MA04SE,"Resolver e elaborar problemas de apenas números naturais com adição, subtração, divisão e multiplicação utilizando até três operações em uma mesma situação-problema.",1.0,4º e 5º,Módulo 6,Aula 28,57 e 58,MAT_Unidade_01: O Mundo dos Números,"Distribuir alguns objetos e cédulas fictícias para osalunos e simular uma feira. Levando-os a refletirquanto gastou e quanto sobrará de troco.","História: Que cor é minha cor?
Autora: Martha Rodrigues
Narradora: Natiara Silva"
Matemática,4º,EF04MA05,Utilizar as propriedades das operações para desenvolver estratégias de cálculo.,1.0,4º e 5º,Módulo 6,Aula 28,57 e 58,MAT_Unidade_16: Para saber mais sobre os sistemas de numeração,"Distribuir alguns objetos e cédulas fictícias para osalunos e simular uma feira. Levando-os a refletirquanto gastou e quanto sobrará de troco.","História: Que cor é minha cor?
Autora: Martha Rodrigues
Narradora: Natiara Silva"
Matemática,4º,EF05MA04SE,"Resolver e elaborar problemas de apenas números naturais com adição, subtração, divisão e multiplicação utilizando até três operações em uma mesma situação-problema.",1.0,4º e 5º,Módulo 6,Aula 28,57 e 58,MAT_Unidade_16: Para saber mais sobre os sistemas de numeração,"Distribuir alguns objetos e cédulas fictícias para osalunos e simular uma feira. Levando-os a refletirquanto gastou e quanto sobrará de troco.","História: Que cor é minha cor?
Autora: Martha Rodrigues
Narradora: Natiara Silva"
Ciências,4º,EF04CI02SE,"Reconhecer a importância de conservar o ambiente, preservando espécies, incluindo as ameaçadas de extinção no território sergipano, para manutenção do equilíbrio ecológico.",1.0,4º e 5º,Módulo 6,Aula 29,59 e 60,CIE_Unidade_05: Animais Vertebrados,"Trazer imagens de animais vertebrados e pedir para que osalunos identifiquem se são mamíferos, aves, peixes, anfíbiose répteis.","História: Vovó tem Alzha ... o quê?
Autora: Veronique Van den Abeele
Narradora: Silvaneide"
Tecnologia,4º,EF04HI01,"Reconhecer a história como resultado da ação do ser humano no tempo e no espaço, com base na identificação de mudanças e permanências ao longo do tempo.",1.0,4º e 5º,Módulo 6,Aula 30,61 e 62,TEC_Unidade_02: A história das máquinas e seus tipos,"Solicitar que os alunos pesquisem a evolução e osdiferentes modelos de alguma máquina simples ou máquinacomposta.","História: O Pinguim e a Preguiça
Autora: Ana Rosa
Narradora: Patrícia Marisa"
Tecnologia,4º,EF15AR26,"Explorar diferentes tecnologias e recursos digitais (multimeios, animações, jogos eletrônicos, gravações em áudio e vídeo, fotografia, softwares etc.) nos processos de criação artística.",1.0,4º e 5º,Módulo 6,Aula 30,61 e 62,TEC_Unidade_02: A história das máquinas e seus tipos,"Solicitar que os alunos pesquisem a evolução e osdiferentes modelos de alguma máquina simples ou máquinacomposta.","História: O Pinguim e a Preguiça
Autora: Ana Rosa
Narradora: Patrícia Marisa"
Maneiras de pensar e agir,4º,EF04HI01,"Reconhecer a história como resultado da ação do ser humano no tempo e no espaço, com base na identificação de mudanças e permanências ao longo do tempo.",1.0,4º e 5º,Módulo 7,Aula 31,63 e 64,MP_Unidade_03: Comportamentos positivos: direitos e deveres,"Solicitar que os alunos pesquisem a evolução e osdiferentes modelos de alguma máquina simples oumáquina composta.","História: Bruna e a Galinha D'Angola
Autora: Gercila de Almeida
Narradora: Maria da Conceição"
Maneiras de pensar e agir,4º,EF05HI05,"Associar o conceito de cidadania à conquista de direitos dos povos e das sociedades, compreendendo-o como conquista histórica.",1.0,4º e 5º,Módulo 7,Aula 31,63 e 64,MP_Unidade_03: Comportamentos positivos: direitos e deveres,"Solicitar que os alunos pesquisem a evolução e osdiferentes modelos de alguma máquina simples oumáquina composta.","História: Bruna e a Galinha D'Angola
Autora: Gercila de Almeida
Narradora: Maria da Conceição"
Língua Portuguesa,4º,EF04HI01,"Reconhecer a história como resultado da ação do ser humano no tempo e no espaço, com base na identificação de mudanças e permanências ao longo do tempo.",1.0,4º e 5º,Módulo 7,Aula 32,65 e 66,LP_Unidade_07: Amigos de lá,"Selecionar textos para que os alunos possam ler em sala deaula, e solicitar que os mesmos façam uma resenha sobre otexto escolhido.","História: Bruna e a Galinha D'Angola
Autora: Gercila de Almeida
Narradora: Maria da Conceição"
Língua Portuguesa,4º,EF05HI05,"Associar o conceito de cidadania à conquista de direitos dos povos e das sociedades, compreendendo-o como conquista histórica.",1.0,4º e 5º,Módulo 7,Aula 32,65 e 66,LP_Unidade_07: Amigos de lá,"Selecionar textos para que os alunos possam ler em sala deaula, e solicitar que os mesmos façam uma resenha sobre otexto escolhido.","História: Bruna e a Galinha D'Angola
Autora: Gercila de Almeida
Narradora: Maria da Conceição"
Matemática,4º,EF04MA27,"Analisar dados apresentados em tabelas simples ou de dupla entrada e em gráficos de colunas ou pictóricos, com base em informações das diferentes áreas do conhecimento, e produzir texto com a síntese de sua análise.",1.0,4º e 5º,Módulo 7,Aula 33,67 e 68,MAT_Unidade_14: Comparação dos números,"Solicitar que os alunos façam uma pesquisa pela escola,coletando os anos de nascimento dos funcionários. Após acoleta, pedir para que estes ordenem os anos de formacrescente e decrescente.","História: Menina bonita do laço de fita.
Autora: Ana Maria Machado
Narradora: Aline Avila"
Matemática,4º,EF05MA24,"Interpretar dados estatísticos apresentados em textos, tabelas e gráficos (colunas ou linhas), referentes a outras áreas do conhecimento ou a outros contextos, como saúde e trânsito, e produzir textos com o objetivo de sintetizar conclusões.",1.0,4º e 5º,Módulo 7,Aula 33,67 e 68,MAT_Unidade_14: Comparação dos números,"Solicitar que os alunos façam uma pesquisa pela escola,coletando os anos de nascimento dos funcionários. Após acoleta, pedir para que estes ordenem os anos de formacrescente e decrescente.","História: Menina bonita do laço de fita.
Autora: Ana Maria Machado
Narradora: Aline Avila"
Ciências,4º,EF04GE11,"Identificar as características das paisagens naturais e antrópicas (relevo, cobertura vegetal, rios etc.) no ambiente em que vive, bem como a ação humana na conservação ou degradação dessas áreas.",1.0,4º e 5º,Módulo 7,Aula 34,69 e 70,CIE_Unidade_07: Paisagens Naturais e Culturais,"Formar grupos e distribuir para os alunos imagens querepresentam paisagens naturais e culturais, e solicitar queescrevam as suas diferenças e destaquem característicasde cada uma das paisagens.","História: Cabelo de Lelê
Autora: Valéria Belém
Narrador: Alex Santos"
Ciências,4º,EF05GE8,"Identificar e analisar transformações de paisagens nas cidades e no campo, comparando sequência de fotografias, fotografias aéreas e imagens de satélite de épocas diferentes.",1.0,4º e 5º,Módulo 7,Aula 34,69 e 70,CIE_Unidade_07: Paisagens Naturais e Culturais,"Formar grupos e distribuir para os alunos imagens querepresentam paisagens naturais e culturais, e solicitar queescrevam as suas diferenças e destaquem característicasde cada uma das paisagens.","História: Cabelo de Lelê
Autora: Valéria Belém
Narrador: Alex Santos"
Cidadania e Convivência em Paz,4º,EF04HI01,"Reconhecer a história como resultado da ação do ser humano no tempo e no espaço, com base na identificação de mudanças e permanências ao longo do tempo.",1.0,4º e 5º,Módulo 7,Aula 35,71 e 72,CIC_Unidade_02: Profissionais da escola e a Responsabilidade no Espaço,"Construir cartazes que mostrem as ações positivas enegativas desenvolvidas na escola, e convidar outrasturmas para assistir as apresentações e expor os cartazespelos corredores da escola.","História: A linda Garota de Angola
Autora: Ana Gisélia Vieira
Narrador: Alex Santos"
Cidadania e Convivência em Paz,4º,EF05HI05,"Associar o conceito de cidadania à conquista de direitos dos povos e das sociedades, compreendendo-o como conquista histórica.",1.0,4º e 5º,Módulo 7,Aula 35,71 e 72,CIC_Unidade_02: Profissionais da escola e a Responsabilidade no Espaço,"Construir cartazes que mostrem as ações positivas enegativas desenvolvidas na escola, e convidar outrasturmas para assistir as apresentações e expor os cartazespelos corredores da escola.","História: A linda Garota de Angola
Autora: Ana Gisélia Vieira
Narrador: Alex Santos"
Maneiras de pensar e agir,4º,EF04HI04,Identificar as relações entre os indivíduos e a natureza e discutir o significado do nomadismo e da fixação das primeiras comunidades humanas.,1.0,4º e 5º,Módulo 8,Aula 36,73 e 74,"MP_Unidade_02: Reconhecimento das emoções, empatia e respeito","Distribuir para os alunos, uma folha com emoções escritas eque fazem parte do cotidiano deles. A partir disso, solicitarque escrevam situações nas quais eles sentiram- nas.","História: Joaninha sem bolinha
Narradora: Patrícia Marisa
Autora: Carolina Rodrigues da Silva Souza"
Maneiras de pensar e agir,4º,EF05HI04,"Compreender a noção de cidadania e associar aos princípios de respeito à diversidade, à pluralidade e aos direitos humanos.",1.0,4º e 5º,Módulo 8,Aula 36,73 e 74,"MP_Unidade_02: Reconhecimento das emoções, empatia e respeito","Distribuir para os alunos, uma folha com emoções escritas eque fazem parte do cotidiano deles. A partir disso, solicitarque escrevam situações nas quais eles sentiram- nas.","História: Joaninha sem bolinha
Narradora: Patrícia Marisa
Autora: Carolina Rodrigues da Silva Souza"
Língua Portuguesa,4º,EF04LP10,"Ler e compreender, com autonomia, cartas pessoais de reclamação, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções do gênero carta e considerando a situação comunicativa e o tema/assunto/finalidade do texto.",1.0,4º e 5º,Módulo 8,Aula 37,75 e 76,LP_Unidade_12: Inho/ão/s/z/ e Contos,"Levar para os alunos nomes de objetos, animais, entreoutros, e solicitar que estes construam frases, usando aspalavras no aumentativo e diminutivo.","História: O Livro da Família
Autor: Todd Parr
Narradora: Silvaneide"
Língua Portuguesa,4º,EF05LP22,"Ler e compreender verbetes de dicionário, identificando a estrutura, as informações gramaticais (significado de abreviaturas) e as informações semânticas.",1.0,4º e 5º,Módulo 8,Aula 37,75 e 76,LP_Unidade_12: Inho/ão/s/z/ e Contos,"Levar para os alunos nomes de objetos, animais, entreoutros, e solicitar que estes construam frases, usando aspalavras no aumentativo e diminutivo.","História: O Livro da Família
Autor: Todd Parr
Narradora: Silvaneide"
Matemática,4º,EF04MA02,"Mostrar, por decomposição e composição, que todo número natural pode ser escrito por meio de adições e multiplicações por potências de dez, para compreender o sistema de numeração decimal e desenvolver estratégias de cálculo.",1.0,4º e 5º,Módulo 8,Aula 38,77 e 78,MAT_Unidade_09: Muitos cálculos,"Utilizar uma régua e fita métrica e solicitar que os alunosutilizem o instrumento certo para medir a altura ecomprimento da mesa de estudo, cadeira, caderno, lápis,mochila, sapato e um coleguinha.","História: Eu sinto tanto
Autora: Carol Arruda
Narradora: Aline Avila"
Matemática,4º,EF05MA19,"Resolver e elaborar problemas envolvendo medidas das grandezas de comprimento, área, massa, tempo, temperatura e capacidade, recorrendo a transformações entre as unidades mais usuais em contextos socioculturais.",1.0,4º e 5º,Módulo 8,Aula 38,77 e 78,MAT_Unidade_09: Muitos cálculos,"Utilizar uma régua e fita métrica e solicitar que os alunosutilizem o instrumento certo para medir a altura ecomprimento da mesa de estudo, cadeira, caderno, lápis,mochila, sapato e um coleguinha.","História: Eu sinto tanto
Autora: Carol Arruda
Narradora: Aline Avila"
Ciências,4º,EF04CI03,"Investigar e concluir que algumas mudanças de estado físico da matéria são reversíveis (como as mudanças de estado físico da água) e outras são irreversíveis (como o cozimento do ovo, a queima do papel etc.) em situações cotidianas.",1.0,4º e 5º,Módulo 8,Aula 39,79 e 80,CIE_Unidade_11: Água,"Distribuir folhas em branco para os alunos, e solicitar queestes construam o ciclo da água, mostrando suas fases etransformações.","História: A Casa Amarela
Autora: Keyla Ferrari
Narradora: Patrícia Marisa"
Ciências,4º,EF05CI04,"Identificar os principais usos da água e de outros materiais nas atividades cotidianas para discutir e propor formas sustentáveis de utilização desses recursos, levando em consideração a realidade local.",1.0,4º e 5º,Módulo 8,Aula 39,79 e 80,CIE_Unidade_11: Água,"Distribuir folhas em branco para os alunos, e solicitar queestes construam o ciclo da água, mostrando suas fases etransformações.","História: A Casa Amarela
Autora: Keyla Ferrari
Narradora: Patrícia Marisa"
Maneiras de pensar e agir,4º,EF15AR05,"Experimentar a criação em artes visuais de modo individual, coletivo e colaborativo, explorando diferentes espaços da escola e da comunidade.",1.0,4º e 5º,Módulo 8,Aula 40,81 e 82,MP_Unidade_01: Eu e eu mesmo no grupo,"Separar os alunos em grupos e solicitar que construam emuma cartolina exemplos de diferenças e semelhanças quepossuem entre eles, e após, socializarem com osdemais grupos.","História: Vermelha de Vergonha
Autora: Marcia Coivo Villela
Narradora: Natiara"
Ciências,1º,EF01CI03,"Discutir as razões pelas quais os hábitos de higiene do corpo (tomar banho, lavar as mãos antes de comer ou após usar o banheiro, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) e a prática de atividades físicas são necessários para a manutenção da saúde individual e coletiva, reconhecendo e respeitando os hábitos culturais das comunidades e as condições sócias de cada indivíduo.",2.0,1º e 2º,Temática 1,Aula 01,3 e 4,CIE_Unidade_03: Os Alimentos,"Pedir aos estudantes que levem algumas frutas para um piquenique. Antes de iniciar, mostrar como devemos higienizar esses alimentos de forma correta, bem como seu armazenamento.","História: A cesta de Dona Maricota.
Autor (a): Tatiana Belink"
Ciências,1º,EF01CI02,"Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções.",2.0,1º e 2º,Temática 1,Aula 02,5 e 6,CIE_Unidade_01: O corpo humano,"Convidar 2 estudantes, de preferência uma menina e um menino, onde eles deitarão no chão sobre cartolinas para que o contorno do seu corpo seja desenhado e os demais colegas identifiquem, escrevendo ou falando o nome de cada uma das partes.","História: O vírus Malvadão e as crianças Poderosas
Autor (a): Daniel Cavalcante"
Matemática,1º,EF01MA01,"Utilizar números naturais como indicador de quantidade ou de ordem em diferentes situações cotidianas e reconhecer situações em que os números não indicam contagem nem ordem, mas sim código de identificação.",2.0,1º e 2º,Temática 1,Aula 03,7 e 8,MAT_Unidade_01: O mundo dos números,"Pedir que os estudantes levem objetos que possuam números e consigam identificar sua função. Por exemplo: calendários, relógios, régua, rótulos de embalagens, etc.","História: Livros dos números, bichos e flores.
Autor (a): Cléo Busatto."
Língua Portuguesa,1º,EF01LP11,"Conhecer, diferenciar e relacionar letras em formato imprensa e cursiva, maiúsculas e minúsculas.",2.0,1º e 2º,Temática 1,Aula 04,9 e 10,LP_Unidade_01: Amigos de cá,"Entregar uma folha de papel ofício a cada estudante, onde elessentarão em roda e escreverão seu nome. A partir dessaescrita, cada um falará as letras que compõem seu nome,destacando a maiúscula das minúsculas.","História: No reino das letras felizes
Autor (a): Lenira Almeida Heck"
Princípios para uma vida saudável,1º,EF01CI03,"Discutir as razões pelas quais os hábitos de higiene do corpo (tomar banho, lavar as mãos antes de comer ou após usar o banheiro, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) e a prática de atividades físicas são necessários para a manutenção da saúde individual e coletiva, reconhecendo e respeitando os hábitos culturais das comunidades e as condições sócias de cada indivíduo.",2.0,1º e 2º,Temática 1,Aula 05,11 e 12,"VID_Unidade_02: Saúde e doença: higiene, descanso, alimentação e esporte","Pedir aos estudantes que listem alimentos saudáveis e queeles mais gostam de comer. Se for possível, realizar uma visitaao supermercado ou mercearia que existam próximos, paraque eles percebam a diversidade de alimentos e quais sãoimportantes de fato para nosso corpo.","História: A alimentação nada saudável de Francisco
Autor (a): Minéia Pacheco"
